"","id","values","ID","Functional","Treatmentb","STREETNAME","PlanActivi","From1","BeginningS","EndingStat","PavementWi","Length","To1","NPR","OCI","ExtendedCo","Route_ID","Inspection"
"306","306",4,"536","RT - Residential Local","SI","SAINT JAMES AVE","(SI) 2"" Mill & Overlay Local w/ramps","ELM ST",0,674,26.5,674,"DEAD END",58.91,38.55,164361.26,536,"2014/10/27"
"307","307",3,"546","RT - Residential Local","SI","SUNSET RD","(SI) 2"" Mill & Overlay Local w/ramps","CURTIS ST",0,697,26.5,697,"HILLSDALE RD",56.63,45.94,169969.83,546,"2014/11/04"
"308","308",2,"553","RT - Residential Local","SI","TEELE AVE","(SI) 2"" Mill & Overlay Local w/ramps","PACKARD AVE",0,736,26.5,736,"CURTIS ST",58.04,41.38,179480.05,553,"2014/11/18"
"309","309",6,"589","RE - Residential Dead End","RM","WALTER TER","(RM) Crack Seal","JACKSON RD",0,238,26,238,"DEAD END",34.97,73.84,1038.22,589,"2012/09/28"
"310","310",4,"602","CO - Collector","SI","WEBSTER AVE","(SI) 3"" Mill & Overlay Art/Col w/ramps","WASHINGTON ST",0,976,34,976,"PROSPECT ST",69.78,40.72,362221.69,602,"2012/10/16"
"311","311",1,"606","RT - Residential Local","SI","WESLEY ST","(SI) 2"" Mill & Overlay Local w/ramps","PEAR ST",0,561,26.5,561,"OTIS ST (W)",59.29,37.3,136804.56,606,"2012/10/03"
"312","312",1,"64","RT - Residential Local","PM","BOND ST","(PM) Pavement Patching","BROADWAY (W)",0,689,26,689,"JAQUES ST",50.77,65,39709.28,64,"2012/10/03"
"313","313",5,"644","CO - Collector","SI","BOSTON AVE (S)","(SI) 3"" Mill & Overlay Art/Col w/ramps","MORRISON AVE",0,1114,26.5,1114,"150' S OF PRICHARD AVE",70.11,39.64,322238.01,644,"2014/11/25"
"314","314",4,"998","RT - Residential Local","BR","CONWELL AVE","(BR) Recon/Reclaim Local w/ramps","CURTIS ST",0,1386,27,1386,"NORTH ST",65.17,18.2,626818.5,998,"2014/11/04"
"315","315",7,"461","RT - Residential Local","SI","PERRY ST","(SI) 2"" Mill & Overlay Local w/ramps","WASHINGTON ST",0,725,27,725,"WYATT ST",61.22,31.04,180133.5,461,"2012/06/26"
"316","316",6,"460","CO - Collector","PM","PERKINS ST","(PM) Pavement Patching","BOSTON TOWNLINE",0,1348,25,1348,"DEAD END",61.28,63.34,74701.58,460,"2012/10/05"
"317","317",9,"660","CO - Collector","PM","COLLEGE AVE","(PM) Pavement Patching","ELM ST",0,2464,40,2464,"BROADWAY",63.86,64.95,218474.64,660,"2014/11/25"
"318","318",1,"89","RT - Residential Local","PM","CAMPBELL PARK","(PM) Pavement Patching","MEACHAM RD",0,432,26.5,432,"KINGSTON ST",52.63,58.96,25376.4,89,"2014/11/25"
"319","319",1,"535","RT - Residential Local","RM","SPRINGFIELD ST","(RM) Crack Seal","CAMBRIDGE TOWNLINE",0,807,27,807,"CONCORD AVE",47.99,74.02,3655.71,535,"2012/09/12"
"320","320",1,"534","RT - Residential Local","SI","SPRING ST","(SI) 2"" Mill & Overlay Local w/ramps","SOMERVILLE AVE",0,1265,25.5,1265,"SUMMER ST",58.89,38.6,296840.96,534,"2012/09/25"
"321","321",2,"533","RT - Residential Local","SI","SPRINGHILL TERR","(SI) 2"" Mill & Overlay Local w/ramps","HIGHLAND AVE",0,723,14.5,723,"BELMONT ST",63.14,24.8,96471.22,533,"2012/09/25"
"322","322",7,"58","RT - Residential Local","PM","BIGELOW ST","(PM) Pavement Patching","BOSTON ST",0,253,33,253,"MUNROE ST",56.3,47.04,18507.02,58,"2012/09/19"
